placeDcid,placeName,Date:Count_Person_WhiteAlone,Value:Count_Person_WhiteAlone,Source:Count_Person_WhiteAlone
geoId/02130,Ketchikan Gateway Borough,2022,8909,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02150,Kodiak Island Borough,2022,6612,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02158,Kusilvak Census Area,2022,265,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02164,Lake and Peninsula Borough,2022,171,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02170,Matanuska-Susitna Borough,2022,86055,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02180,Nome Census Area,2022,1423,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02185,North Slope Borough,2022,3474,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02188,Northwest Arctic Borough,2022,818,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02195,Petersburg Borough,2022,1948,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02198,Prince of Wales-Hyder Census Area,2022,2613,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02220,Sitka City and Borough,2022,5269,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02230,Skagway Municipality,2022,1017,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02240,Southeast Fairbanks Census Area,2022,5163,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02275,Wrangell City and Borough,2022,1216,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02282,Yakutat City and Borough,2022,173,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02290,Yukon-Koyukuk Census Area,2022,1239,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04001,Apache County,2022,13556,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04003,Cochise County,2022,89661,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04005,Coconino County,2022,84752,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04007,Gila County,2022,37037,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04009,Graham County,2022,26349,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04011,Greenlee County,2022,7158,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04012,La Paz County,2022,10593,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04013,Maricopa County,2022,2954182,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04015,Mohave County,2022,178146,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04017,Navajo County,2022,49409,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04019,Pima County,2022,686722,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04021,Pinal County,2022,299613,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04023,Santa Cruz County,2022,24750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04025,Yavapai County,2022,201005,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04027,Yuma County,2022,118769,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05001,Arkansas County,2022,12112,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05003,Ashley County,2022,13461,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05005,Baxter County,2022,39074,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05007,Benton County,2022,205967,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05009,Boone County,2022,35724,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05011,Bradley County,2022,6370,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05013,Calhoun County,2022,3542,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05015,Carroll County,2022,22594,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05017,Chicot County,2022,4339,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05019,Clark County,2022,14848,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05021,Clay County,2022,13720,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05023,Cleburne County,2022,23593,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05025,Cleveland County,2022,6339,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05027,Columbia County,2022,13877,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05029,Conway County,2022,17343,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05031,Craighead County,2022,83513,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05033,Crawford County,2022,51822,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05035,Crittenden County,2022,19945,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05037,Cross County,2022,12275,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05039,Dallas County,2022,3405,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05041,Desha County,2022,5365,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05043,Drew County,2022,11655,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05045,Faulkner County,2022,100955,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05047,Franklin County,2022,15377,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05049,Fulton County,2022,11334,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05051,Garland County,2022,84455,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05053,Grant County,2022,16647,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05055,Greene County,2022,42055,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05057,Hempstead County,2022,11379,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05059,Hot Spring County,2022,27782,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05061,Howard County,2022,8227,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05063,Independence County,2022,32862,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05065,Izard County,2022,12189,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05067,Jackson County,2022,12770,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05069,Jefferson County,2022,25818,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05071,Johnson County,2022,22047,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05073,Lafayette County,2022,3740,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05075,Lawrence County,2022,15205,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05077,Lee County,2022,3663,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05079,Lincoln County,2022,8250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05081,Little River County,2022,8697,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05083,Logan County,2022,19066,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05085,Lonoke County,2022,64497,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05087,Madison County,2022,13326,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05089,Marion County,2022,15990,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05091,Miller County,2022,29222,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05093,Mississippi County,2022,23530,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05095,Monroe County,2022,3656,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05097,Montgomery County,2022,7777,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05099,Nevada County,2022,5320,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05101,Newton County,2022,6734,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05103,Ouachita County,2022,12619,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05105,Perry County,2022,9156,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05107,Phillips County,2022,5718,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05109,Pike County,2022,9048,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05111,Poinsett County,2022,19685,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05113,Polk County,2022,17457,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05115,Pope County,2022,54268,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05117,Prairie County,2022,6970,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05119,Pulaski County,2022,209994,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05121,Randolph County,2022,16846,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05123,St. Francis County,2022,9259,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05125,Saline County,2022,104854,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05127,Scott County,2022,8426,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05129,Searcy County,2022,6954,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05131,Sebastian County,2022,90210,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05133,Sevier County,2022,9216,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05135,Sharp County,2022,16111,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05137,Stone County,2022,11247,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05139,Union County,2022,24439,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05141,Van Buren County,2022,14800,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05143,Washington County,2022,174159,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05145,White County,2022,68350,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05147,Woodruff County,2022,4352,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05149,Yell County,2022,15757,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06001,Alameda County,2022,565911,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06003,Alpine County,2022,961,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06005,Amador County,2022,32583,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06007,Butte County,2022,161779,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06009,Calaveras County,2022,37974,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06011,Colusa County,2022,13290,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06013,Contra Costa County,2022,542206,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06015,Del Norte County,2022,18969,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06017,El Dorado County,2022,158083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06019,Fresno County,2022,483826,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06021,Glenn County,2022,19350,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06023,Humboldt County,2022,102072,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06025,Imperial County,2022,70860,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06027,Inyo County,2022,12980,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06029,Kern County,2022,509039,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06031,Kings County,2022,78680,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06033,Lake County,2022,48251,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06035,Lassen County,2022,22816,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06037,Los Angeles County,2022,3937901,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06039,Madera County,2022,77220,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06041,Marin County,2022,192209,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06043,Mariposa County,2022,14043,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06045,Mendocino County,2022,67114,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06047,Merced County,2022,117491,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06049,Modoc County,2022,7196,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06051,Mono County,2022,10437,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06053,Monterey County,2022,173937,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06055,Napa County,2022,87333,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06057,Nevada County,2022,90082,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06059,Orange County,2022,1594137,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06061,Placer County,2022,306615,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06063,Plumas County,2022,17247,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06065,Riverside County,2022,1138018,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06067,Sacramento County,2022,785699,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06069,San Benito County,2022,34864,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06071,San Bernardino County,2022,975461,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06073,San Diego County,2022,1899871,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06075,San Francisco County,2022,356474,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06077,San Joaquin County,2022,328081,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06079,San Luis Obispo County,2022,216354,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06081,San Mateo County,2022,327625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06083,Santa Barbara County,2022,270657,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06085,Santa Clara County,2022,693455,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06087,Santa Cruz County,2022,176572,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06089,Shasta County,2022,148667,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06091,Sierra County,2022,2600,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06093,Siskiyou County,2022,35233,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06095,Solano County,2022,207575,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06097,Sonoma County,2022,330543,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06099,Stanislaus County,2022,316065,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06101,Sutter County,2022,53760,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06103,Tehama County,2022,48781,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06105,Trinity County,2022,12828,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06107,Tulare County,2022,240811,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06109,Tuolumne County,2022,46316,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06111,Ventura County,2022,544398,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06113,Yolo County,2022,127655,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06115,Yuba County,2022,52705,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08001,Adams County,2022,342214,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08003,Alamosa County,2022,11104,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08005,Arapahoe County,2022,422330,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08007,Archuleta County,2022,10759,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08009,Baca County,2022,3159,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08011,Bent County,2022,3960,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08013,Boulder County,2022,272193,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08014,Broomfield County,2022,60019,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08015,Chaffee County,2022,17538,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08017,Cheyenne County,2022,1475,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08019,Clear Creek County,2022,8481,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08021,Conejos County,2022,5146,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08023,Costilla County,2022,2263,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08025,Crowley County,2022,3875,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08027,Custer County,2022,4536,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08029,Delta County,2022,27478,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08031,Denver County,2022,467213,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08033,Dolores County,2022,1929,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08035,Douglas County,2022,302851,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08037,Eagle County,2022,43224,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08039,Elbert County,2022,23215,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08041,El Paso County,2022,543305,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08043,Fremont County,2022,42850,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08045,Garfield County,2022,47221,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08047,Gilpin County,2022,5255,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08049,Grand County,2022,13595,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08051,Gunnison County,2022,15398,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
