placeDcid,placeName,Date:Count_Person_BelowPovertyLevelInThePast12Months,Value:Count_Person_BelowPovertyLevelInThePast12Months,Source:Count_Person_BelowPovertyLevelInThePast12Months
geoId/01127,Walker County,2022,10437,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01129,Washington County,2022,2415,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01131,Wilcox County,2022,2735,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/01133,Winston County,2022,4217,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02013,Aleutians East Borough,2022,429,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02016,Aleutians West Census Area,2022,478,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02020,Anchorage Municipality,2022,27415,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02050,Bethel Census Area,2022,4586,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02060,Bristol Bay Borough,2022,66,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02063,Chugach Census Area,2022,339,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02066,Copper River Census Area,2022,289,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02068,Denali Borough,2022,150,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02070,Dillingham Census Area,2022,765,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02090,Fairbanks North Star Borough,2022,6356,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02100,Haines Borough,2022,121,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02105,Hoonah-Angoon Census Area,2022,269,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02110,Juneau City and Borough,2022,2176,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02122,Kenai Peninsula Borough,2022,7265,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02130,Ketchikan Gateway Borough,2022,1329,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02150,Kodiak Island Borough,2022,1027,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02158,Kusilvak Census Area,2022,2836,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02164,Lake and Peninsula Borough,2022,151,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02170,Matanuska-Susitna Borough,2022,10810,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02180,Nome Census Area,2022,2041,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02185,North Slope Borough,2022,857,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02188,Northwest Arctic Borough,2022,1405,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02195,Petersburg Borough,2022,153,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02198,Prince of Wales-Hyder Census Area,2022,879,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02220,Sitka City and Borough,2022,571,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02230,Skagway Municipality,2022,81,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02240,Southeast Fairbanks Census Area,2022,898,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02275,Wrangell City and Borough,2022,213,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02282,Yakutat City and Borough,2022,56,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02290,Yukon-Koyukuk Census Area,2022,1216,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04001,Apache County,2022,21058,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04003,Cochise County,2022,17553,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04005,Coconino County,2022,22531,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04007,Gila County,2022,9910,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04009,Graham County,2022,6230,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04011,Greenlee County,2022,1208,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04012,La Paz County,2022,3435,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04013,Maricopa County,2022,503565,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04015,Mohave County,2022,33597,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04017,Navajo County,2022,26591,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04019,Pima County,2022,151733,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04021,Pinal County,2022,46424,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04023,Santa Cruz County,2022,9622,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04025,Yavapai County,2022,28765,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04027,Yuma County,2022,34654,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05001,Arkansas County,2022,2816,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05003,Ashley County,2022,4390,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05005,Baxter County,2022,5587,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05007,Benton County,2022,22289,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05009,Boone County,2022,4869,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05011,Bradley County,2022,1570,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05013,Calhoun County,2022,574,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05015,Carroll County,2022,4329,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05017,Chicot County,2022,2618,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05019,Clark County,2022,3812,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05021,Clay County,2022,2789,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05023,Cleburne County,2022,3469,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05025,Cleveland County,2022,1013,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05027,Columbia County,2022,4675,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05029,Conway County,2022,4313,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05031,Craighead County,2022,20511,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05033,Crawford County,2022,10620,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05035,Crittenden County,2022,9305,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05037,Cross County,2022,3357,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05039,Dallas County,2022,723,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05041,Desha County,2022,3044,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05043,Drew County,2022,3513,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05045,Faulkner County,2022,18478,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05047,Franklin County,2022,3412,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05049,Fulton County,2022,1841,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05051,Garland County,2022,16604,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05053,Grant County,2022,2413,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05055,Greene County,2022,7892,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05057,Hempstead County,2022,4536,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05059,Hot Spring County,2022,6093,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05061,Howard County,2022,2301,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05063,Independence County,2022,7124,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05065,Izard County,2022,2503,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05067,Jackson County,2022,2957,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05069,Jefferson County,2022,11818,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05071,Johnson County,2022,5327,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05073,Lafayette County,2022,1328,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05075,Lawrence County,2022,2791,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05077,Lee County,2022,1964,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05079,Lincoln County,2022,1481,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05081,Little River County,2022,1394,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05083,Logan County,2022,3036,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05085,Lonoke County,2022,8680,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05087,Madison County,2022,2731,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05089,Marion County,2022,2970,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05091,Miller County,2022,8496,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05093,Mississippi County,2022,8599,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05095,Monroe County,2022,1592,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05097,Montgomery County,2022,1527,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05099,Nevada County,2022,2248,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05101,Newton County,2022,814,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05103,Ouachita County,2022,4230,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05105,Perry County,2022,1526,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05107,Phillips County,2022,4946,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05109,Pike County,2022,1745,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05111,Poinsett County,2022,4716,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05113,Polk County,2022,3393,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05115,Pope County,2022,10728,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05117,Prairie County,2022,797,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05119,Pulaski County,2022,64768,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05121,Randolph County,2022,3519,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05123,St. Francis County,2022,5659,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05125,Saline County,2022,11688,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05127,Scott County,2022,1677,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05129,Searcy County,2022,2054,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05131,Sebastian County,2022,20818,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05133,Sevier County,2022,3144,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05135,Sharp County,2022,2725,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05137,Stone County,2022,2603,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05139,Union County,2022,7135,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05141,Van Buren County,2022,2971,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05143,Washington County,2022,36258,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05145,White County,2022,11867,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05147,Woodruff County,2022,1146,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05149,Yell County,2022,2480,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06001,Alameda County,2022,149843,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06003,Alpine County,2022,208,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06005,Amador County,2022,2945,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06007,Butte County,2022,38015,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06009,Calaveras County,2022,5915,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06011,Colusa County,2022,2364,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06013,Contra Costa County,2022,95255,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06015,Del Norte County,2022,3585,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06017,El Dorado County,2022,16364,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06019,Fresno County,2022,193675,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06021,Glenn County,2022,4335,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06023,Humboldt County,2022,26394,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06025,Imperial County,2022,36092,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06027,Inyo County,2022,2199,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06029,Kern County,2022,170013,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06031,Kings County,2022,22634,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06033,Lake County,2022,11065,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06035,Lassen County,2022,3645,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06037,Los Angeles County,2022,1343978,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06039,Madera County,2022,30154,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06041,Marin County,2022,17809,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06043,Mariposa County,2022,2712,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06045,Mendocino County,2022,14483,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06047,Merced County,2022,51272,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06049,Modoc County,2022,1430,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06051,Mono County,2022,1478,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06053,Monterey County,2022,51913,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06055,Napa County,2022,10620,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06057,Nevada County,2022,10505,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06059,Orange County,2022,303810,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06061,Placer County,2022,27446,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06063,Plumas County,2022,2101,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06065,Riverside County,2022,272432,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06067,Sacramento County,2022,204388,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06069,San Benito County,2022,4832,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06071,San Bernardino County,2022,294246,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06073,San Diego County,2022,338752,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06075,San Francisco County,2022,87849,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06077,San Joaquin County,2022,98352,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06079,San Luis Obispo County,2022,33728,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06081,San Mateo County,2022,48137,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06083,Santa Barbara County,2022,57513,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06085,Santa Clara County,2022,129834,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06087,Santa Cruz County,2022,29302,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06089,Shasta County,2022,23753,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06091,Sierra County,2022,359,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06093,Siskiyou County,2022,7289,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06095,Solano County,2022,39705,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06097,Sonoma County,2022,42925,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06099,Stanislaus County,2022,75125,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06101,Sutter County,2022,13065,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06103,Tehama County,2022,10483,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06105,Trinity County,2022,3457,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06107,Tulare County,2022,86391,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06109,Tuolumne County,2022,5887,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06111,Ventura County,2022,74315,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06113,Yolo County,2022,36521,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06115,Yuba County,2022,12375,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08001,Adams County,2022,49625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08003,Alamosa County,2022,2418,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08005,Arapahoe County,2022,51766,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08007,Archuleta County,2022,1092,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08009,Baca County,2022,781,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08011,Bent County,2022,1146,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08013,Boulder County,2022,35674,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08014,Broomfield County,2022,3679,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08015,Chaffee County,2022,2137,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08017,Cheyenne County,2022,183,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08019,Clear Creek County,2022,617,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08021,Conejos County,2022,1177,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08023,Costilla County,2022,792,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08025,Crowley County,2022,1076,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08027,Custer County,2022,376,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08029,Delta County,2022,4525,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08031,Denver County,2022,81703,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08033,Dolores County,2022,389,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08035,Douglas County,2022,10799,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08037,Eagle County,2022,4457,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08039,Elbert County,2022,1124,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08041,El Paso County,2022,65325,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08043,Fremont County,2022,6081,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08045,Garfield County,2022,4917,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08047,Gilpin County,2022,538,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08049,Grand County,2022,1345,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
