placeDcid,placeName,Date:Count_Person_EducationalAttainmentRegularHighSchoolDiploma,Value:Count_Person_EducationalAttainmentRegularHighSchoolDiploma,Source:Count_Person_EducationalAttainmentRegularHighSchoolDiploma
geoId/02164,Lake and Peninsula Borough,2022,206,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02170,Matanuska-Susitna Borough,2022,18601,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02180,Nome Census Area,2022,2058,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02185,North Slope Borough,2022,3113,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02188,Northwest Arctic Borough,2022,1644,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02195,Petersburg Borough,2022,754,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02198,Prince of Wales-Hyder Census Area,2022,1255,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02220,Sitka City and Borough,2022,1396,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02230,Skagway Municipality,2022,273,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02240,Southeast Fairbanks Census Area,2022,1386,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02275,Wrangell City and Borough,2022,453,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02282,Yakutat City and Borough,2022,156,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/02290,Yukon-Koyukuk Census Area,2022,1060,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04001,Apache County,2022,12321,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04003,Cochise County,2022,17874,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04005,Coconino County,2022,16090,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04007,Gila County,2022,9850,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04009,Graham County,2022,5331,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04011,Greenlee County,2022,1589,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04012,La Paz County,2022,3421,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04013,Maricopa County,2022,552954,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04015,Mohave County,2022,46565,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04017,Navajo County,2022,17931,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04019,Pima County,2022,123030,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04021,Pinal County,2022,74791,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04023,Santa Cruz County,2022,6273,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04025,Yavapai County,2022,37441,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/04027,Yuma County,2022,28308,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05001,Arkansas County,2022,4350,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05003,Ashley County,2022,5327,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05005,Baxter County,2022,9054,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05007,Benton County,2022,46792,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05009,Boone County,2022,7614,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05011,Bradley County,2022,3068,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05013,Calhoun County,2022,1434,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05015,Carroll County,2022,6010,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05017,Chicot County,2022,2344,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05019,Clark County,2022,3323,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05021,Clay County,2022,3240,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05023,Cleburne County,2022,5889,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05025,Cleveland County,2022,2156,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05027,Columbia County,2022,5473,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05029,Conway County,2022,5114,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05031,Craighead County,2022,19064,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05033,Crawford County,2022,11514,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05035,Crittenden County,2022,9530,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05037,Cross County,2022,4162,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05039,Dallas County,2022,2158,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05041,Desha County,2022,2871,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05043,Drew County,2022,3320,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05045,Faulkner County,2022,19319,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05047,Franklin County,2022,4072,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05049,Fulton County,2022,2852,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05051,Garland County,2022,18940,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05053,Grant County,2022,4328,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05055,Greene County,2022,10545,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05057,Hempstead County,2022,4448,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05059,Hot Spring County,2022,7603,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05061,Howard County,2022,3296,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05063,Independence County,2022,7866,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05065,Izard County,2022,2832,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05067,Jackson County,2022,4075,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05069,Jefferson County,2022,16514,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05071,Johnson County,2022,5709,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05073,Lafayette County,2022,1829,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05075,Lawrence County,2022,3294,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05077,Lee County,2022,2577,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05079,Lincoln County,2022,3924,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05081,Little River County,2022,3333,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05083,Logan County,2022,5521,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05085,Lonoke County,2022,15516,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05087,Madison County,2022,4883,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05089,Marion County,2022,3967,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05091,Miller County,2022,8789,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05093,Mississippi County,2022,8236,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05095,Monroe County,2022,1646,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05097,Montgomery County,2022,1738,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05099,Nevada County,2022,2419,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05101,Newton County,2022,1598,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05103,Ouachita County,2022,5333,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05105,Perry County,2022,2551,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05107,Phillips County,2022,2888,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05109,Pike County,2022,2346,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05111,Poinsett County,2022,5874,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05113,Polk County,2022,4017,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05115,Pope County,2022,11186,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05117,Prairie County,2022,2047,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05119,Pulaski County,2022,57660,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05121,Randolph County,2022,3882,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05123,St. Francis County,2022,5187,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05125,Saline County,2022,22107,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05127,Scott County,2022,2207,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05129,Searcy County,2022,1736,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05131,Sebastian County,2022,20822,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05133,Sevier County,2022,2807,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05135,Sharp County,2022,4225,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05137,Stone County,2022,2319,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05139,Union County,2022,8557,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05141,Van Buren County,2022,3715,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05143,Washington County,2022,34655,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05145,White County,2022,16410,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05147,Woodruff County,2022,1816,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/05149,Yell County,2022,4053,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06001,Alameda County,2022,174256,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06003,Alpine County,2022,171,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06005,Amador County,2022,7450,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06007,Butte County,2022,25944,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06009,Calaveras County,2022,9504,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06011,Colusa County,2022,3762,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06013,Contra Costa County,2022,123642,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06015,Del Norte County,2022,4505,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06017,El Dorado County,2022,25526,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06019,Fresno County,2022,122244,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06021,Glenn County,2022,5214,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06023,Humboldt County,2022,19236,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06025,Imperial County,2022,23133,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06027,Inyo County,2022,3326,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06029,Kern County,2022,132185,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06031,Kings County,2022,22209,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06033,Lake County,2022,11724,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06035,Lassen County,2022,5620,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06037,Los Angeles County,2022,1275967,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06039,Madera County,2022,19103,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06041,Marin County,2022,16879,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06043,Mariposa County,2022,2416,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06045,Mendocino County,2022,14498,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06047,Merced County,2022,41014,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06049,Modoc County,2022,1676,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06051,Mono County,2022,1705,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06053,Monterey County,2022,47473,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06055,Napa County,2022,14729,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06057,Nevada County,2022,13786,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06059,Orange County,2022,337421,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06061,Placer County,2022,44266,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06063,Plumas County,2022,3843,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06065,Riverside County,2022,379770,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06067,Sacramento County,2022,203415,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06069,San Benito County,2022,9579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06071,San Bernardino County,2022,334350,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06073,San Diego County,2022,354292,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06075,San Francisco County,2022,68418,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06077,San Joaquin County,2022,122781,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06079,San Luis Obispo County,2022,30508,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06081,San Mateo County,2022,71436,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06083,Santa Barbara County,2022,41288,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06085,Santa Clara County,2022,159979,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06087,Santa Cruz County,2022,24161,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06089,Shasta County,2022,28051,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06091,Sierra County,2022,672,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06093,Siskiyou County,2022,7652,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06095,Solano County,2022,63600,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06097,Sonoma County,2022,55419,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06099,Stanislaus County,2022,92072,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06101,Sutter County,2022,13598,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06103,Tehama County,2022,12141,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06105,Trinity County,2022,5102,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06107,Tulare County,2022,63827,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06109,Tuolumne County,2022,8464,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06111,Ventura County,2022,101287,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06113,Yolo County,2022,20303,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/06115,Yuba County,2022,11049,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08001,Adams County,2022,77514,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08003,Alamosa County,2022,2141,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08005,Arapahoe County,2022,71885,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08007,Archuleta County,2022,2203,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08009,Baca County,2022,669,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08011,Bent County,2022,1062,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08013,Boulder County,2022,20449,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08014,Broomfield County,2022,5357,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08015,Chaffee County,2022,2843,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08017,Cheyenne County,2022,357,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08019,Clear Creek County,2022,1187,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08021,Conejos County,2022,1459,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08023,Costilla County,2022,684,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08025,Crowley County,2022,1037,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08027,Custer County,2022,734,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08029,Delta County,2022,7047,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08031,Denver County,2022,62842,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08033,Dolores County,2022,626,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08035,Douglas County,2022,24239,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08037,Eagle County,2022,6057,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08039,Elbert County,2022,4031,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08041,El Paso County,2022,75605,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/08043,Fremont County,2022,9775,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
